Ticker,Category,For Mobile ,For Desktop
AAR,Autoparts and Automobile Retailer,-0.0850641,0.294982
ACFR,"Arts, Crafts and Fabric Retailers",-0.0189456,0.250623
BPR,Baby Products Retailers,0.0197489,0.284849
BSR,Bags and Suitcases Retailer,0.0805583,0.265251
CSJWAR,"Clothing, Shoes, Jewelery, Watch and Accessories Retailer",-0.0284684,0.228568
CVPR,Cigarette & Vape Prodcuts Retailer,-0.0928377,0.315462
ESCR,"Eyeglasses, Sunglasses and Contacts Retailer",-0.0250915,0.223294
ETR,Electronics and Technology Retailer,0.0719491,0.313977
FBGR,"Foods,Beverages and Groceries Retailer",-0.0018116,0.278785
FSPSR,Fitness & Sports Products and Services Retailer,0.0229327,0.271882
G,General,-0.0396396,0.285387
GPR,Gardening Products Retailer,-0.0117521,0.394577
GTR,Gifts and Toys Retailer,-0.0277441,0.262765
HICPR,Home Improvement and Cleaning Products Retailer,-0.004536,0.281803
HSPPR,Health Services and Pharamceutical Products Retailers,-0.0139404,0.325029
KTER,Kitchen tools and Equipments Retailer,0.0240129,0.299464
MEEPR,"Media, Education and Entertainment Products Retailer",0.042154,0.249406
MEP,Marketing and E-commerce Platform,0.1483329,0.046402
MPR,Metal Products Retailer,-0.0015401,0.270729
MPSR,Music Products and Services Retailer,0.0391399,0.313499
MS,Mail Services,0.2417515,0.383415
ORMR,Outdoor Recreation Merchandise Retailer,-0.0766455,0.293999
OSSR,Office and Stationary Supplies Retailer,0.1058442,0.309996
PCBPR,Personal Care and Beauty Products Retailer,-0.0608098,0.256735
PDS,Packaging And Distribution Services,0.0600703,0.223107
PLPR,Printing and Labels Products Retailer,0.1757746,0.286945
PPEMSR,Party Products and Event Management Services Retailer,-0.0537645,0.276109
PPR,Pet Products Retailer,-0.0816716,0.281684
PVER,Photo and Video Equipment Retailer,0.0890465,0.237417
WITER,"Weapons, Industrial Tools and Equipment Retailer",-0.0581717,0.312168
